web-scraper-order,web-scraper-start-url,issue,issue-href,article,article-href,title,author,abstract,keywords,publisher,issue_date
"1551254924-11","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 2","https://www.emeraldinsight.com/toc/fs/1/2","The zone of entanglement: change, non‐change and the new managerial ideology of ephemera","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","The zone of entanglement: change, non‐change and the new managerial ideology of ephemera","David Rooney  (Graduate School of Management, University of Queensland, 11 Salisbury Road, Ipswich, Queensland 4305, Australia)","We argue that change management has become ideological and that by selective use of complexity research has used the imperative for change to further political and economic agendas. We seek to redress this situation by developing a critical perspective on change and a new metaphor, the zone of entanglement, to assist critical analysis of change. Central to our argument is that a dynamic of change is non‐change. In this vein, we show that there are deep, robust and persistent structures that dampen change and which, if recognized, may help in achieving organic change, resulting in positive social transformations.","Change, Ephemera, History","MCB UP Ltd","Published: 1999, Start page: 117"
"1551257227-794","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 2","https://www.emeraldinsight.com/toc/fs/17/2","The end of democracy as we knew it","https://www.emeraldinsight.com/doi/full/10.1108/FS-04-2014-0024","The end of democracy as we knew it","Bernd Hamm   (Professor Emeritus of Sociology, Department of Sociology, University of Trier, Trier, Germany)","null","Decision-making, Democracy, Globalization, Civil rights, Capitalist systems, Distribution of wealth, Global ruling class, Political rights","Bernd Hamm,  (2015)  ""The end of democracy as we knew it"", Foresight, Vol. 17 Issue: 2, pp.161-193, https://doi.org/10.1108/FS-04-2014-0024","Published: 2015, Start page: 97"
"1551256335-474","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 2","https://www.emeraldinsight.com/toc/fs/10/2","Speculation on the long‐term future of Israel and a Palestinian state","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","Speculation on the long‐term future of Israel and a Palestinian state","Marvin Baker Schaffer  (Adjunct staff at RAND Corporation, Santa Monica, California, USA. Leslie Schaffer Belay is an independent consultant and also a graduate student at Hebrew College.)","Received 7 January 2008Revised 9 January 2008Accepted 21 January 2008","Purpose – The purpose of this paper is to postulate a political structure for Israel and a Palestinian State 25‐50 years from now.
Design/methodology/approach – The paper speculates that a Middle East Union modeled after the EU could enable stability and prosperity on a scale not now envisioned.
Findings – The paper speculates that oil will no longer be the global fuel of choice in 50 years. It is also speculated that long‐ and short‐range missile defenses will be reliable unlike today's systems. These will create new opportunities for successful collaboration in the Middle East.
Originality/value – The paper speculates that transportation, water, and power will be the key new elements of infrastructure needed to facilitate a Middle East Union. Nuclear desalination is postulated for the water and power and a light rail system connecting 15 cities in the Palestinian areas will be required.","Conceptual paper","Published: 2008, Start page: 3"
"1551257525-899","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 5","https://www.emeraldinsight.com/toc/fs/19/5","Switching to renewables: what will Russia gain?","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","Switching to renewables: what will Russia gain?","Georgy V. Ermolenko,  (Center for Renewable Energy, National Research University Higher School of Economics, Moscow, Russian Federation)","The authors would like to show sincere appreciation to the Renova Group for the support of the study. We would like to extend a personal note of thanks to Mr Viktor Vekselberg, President of “Skolkovo” Foundation, Chairman of the Board of Directors of Renova Group.","Russia, Energy policy, Installed capacity, Renewable energy potential","Emerald Publishing Limited","Published: 2017, Start page: 437"
"1551255014-36","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 5","https://www.emeraldinsight.com/toc/fs/1/5","The 21st Century: a better world or a brave new world","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","The 21st Century: a better world or a brave new world","Federico Mayor  (Director General of UNESCO from 1987‐1999)","Based on the world report, The World Ahead: our Future in the Making, this article identifies four major challenges which we face at the dawn of the 21st century: peace, social inequality, sustainable development and long‐term global planning. It argues that society needs to be rebuilt and envisages it as an international democracy founded on four pillars or contracts – social, natural, cultural and ethical – and looks at some of the preconditions and costs.","Social inequality, Sustainable development, Technology","MCB UP Ltd","Published: 1999, Start page: 389"
"1551256871-674","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 3","https://www.emeraldinsight.com/toc/fs/14/3","Forecasting renewable energy production in the US","https://www.emeraldinsight.com/doi/full/10.1108/14636681211239764","Forecasting renewable energy production in the US","Tugrul Daim  (Associate Professor at Portland State University, Portland, Oregon, USA)","null","Technology‐led strategy, Energy management, Forecasting, United States of America, Renewable energy","Emerald Group Publishing Limited","Published: 2012, Start page: 191"
"1551256429-509","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/11/1","The Handbook of Technology Foresight","https://www.emeraldinsight.com/doi/full/10.1108/14636680910936486","The Handbook of Technology Foresight","Simon Forge  (SCF Associates, Princes Risborough, UK)","null","The Handbook of Technology Foresight Edited by Luke Georghiou, Jennifer Cassingena Harper, Michael Keenan, Ian Miles and Rafael Popper","Cheltenham, UK","Published: 2009, Start page: 5"
"1551255916-333","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/7/1","The need for a universal humanitarian order","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","The need for a universal humanitarian order","Michel Veuthey  (Doctor of Law (University of Geneva), Associate Professor, IDPD, University of Nice (France), and Vice‐President, International Institute of Humanitarian Law)","The author would like to thank his dear niece Claire Veuthey as well as Arnold S. Kohen and Catherine Currat for their editorial comments on the final English text of this article. E‐mail address of the author: mveuthey@mac.com","Purpose – Within the context of an international conference dealing with global challenges, the Atlantic Community and the outlook for international order organized by Webster University, Geneva (Switzerland), to propose an approach to strengthening the international order by reviving the global responsibility to abide by fundamental humanitarian rules.
Design/methodology/approach – The twentieth century presented a very disturbing catalog of violations of humanitarian law. In addressing the main question of the conference, namely “What are the true principles of international order today and do we need new rules and organizing principles in the future?”, the author tackles the issue from the international humanitarian law perspective and suggests various instruments (formal and informal) for enhancing the protection of human dignity.
Findings – A global responsibility to abide by fundamental humanitarian rules may be revived through positive law and judicial mechanisms, but also through a new respect for human life, a return to universal values found in all civilizations, religions and traditions, and through a new humanitarian order based on the core concept of humanity.
Originality/value – This paper suggests that it is through a combination of existing legal and humanitarian instruments, and not just one, that the international order can be strengthened.","General review","Published: 2005, Start page: 4"
"1551254977-25","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 4","https://www.emeraldinsight.com/toc/fs/1/4","Constitutional futures: transforming the UK’s political landscape","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","Constitutional futures: transforming the UK’s political landscape","Robert Hazell  (The Constitution Unit, School of Public Policy, University College London, 29/30 Tavistock Square, London WC1H 9EZ, UK)","This article outlines the impact of significant constitutional reform in the UK. It uses scenarios of minimum and maximum outcomes of the process of devolving government to Wales, Scotland and Northern Ireland. Domestic issues could include financial tensions, human rights, parliamentary reform, reorganization of the civil service and moves towards a written constitution for the UK. Internationally, changes to the UK’s relations with other countries may result. The article concludes that currently the minimalist scenario is the closest representation of the UK’s constitutional future.","Delegation, Scenario planning, United Kingdom","MCB UP Ltd","Published: 1999, Start page: 309"
"1551257134-766","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 5","https://www.emeraldinsight.com/toc/fs/16/5","2014 State of the Future: Update on Strategic Planning for the Planet","https://www.emeraldinsight.com/doi/full/10.1108/FS-06-2014-0042","2014 State of the Future: Update on Strategic Planning for the Planet","William Halal  (School of Business, ISTM Department, George Washington University, Washington, Washington DC, USA)","null","2014 State of the Future: Update on Strategic Planning for the Planet","Washington, DC","Published: 2014, Start page: 389"
