web-scraper-order,web-scraper-start-url,volume,volume-href,article-href,article_link-href,abstract,author_group,issue_date,keywords
"1551950630-237","https://www.sciencedirect.com/journal/social-networks/issues","Volume 29, Issue 3","https://www.sciencedirect.com/journal/social-networks/vol/29/issue/3","Family comes first: Men's and women's personal networks in Tehran","https://www.sciencedirect.com/science/article/pii/S0378873307000093","This paper examines the characteristics of middle class Tehranis’ networks, based upon a survey of 318 individuals from the 159 households. The results show that women and men have similar-size networks. However, their networks differ substantially in gender composition, with each having almost two-thirds of network members of their own gender. Men's and women's networks contain a large proportion of kin overall. Most ties tend to be with immediate kin: children, parents and siblings. An immediate kin is usually the socially closest member of a network. Apart from voluntary factors, the importance of kinship ties in men's and women's networks may be the result of the macro-structural conditions under which patterns of social relationships take place.","Author links open overlay panelSusanBastani","Volume 29, Issue 3, July 2007, Pages 357-374","KeywordsPersonal networksGender compositionKinship tiesMacro-structural conditions"
"1551949760-23","https://www.sciencedirect.com/journal/social-networks/issues","Volume 21, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/21/issue/4","Popularity structure in friendship networks","https://www.sciencedirect.com/science/article/pii/S0378873399000167","A model of popularity structure in social networks is introduced where popularity is viewed as a latent attribute of the individuals in the network. The group of individuals is assumed to have a latent popularity structure, composed of individuals from different popularity groups. An individual is assumed to choose other individuals within its own group or within groups of more popular individuals. The model is illustrated using a data set where sociometric choices are measured on children in a number of school classes.","Author links open overlay panelIngegerdJansson","Volume 21, Issue 4, October 2000, Pages 339-359","null"
"1551951785-602","https://www.sciencedirect.com/journal/social-networks/issues","Volume 42","https://www.sciencedirect.com/journal/social-networks/vol/42/suppl/C","Double-embeddedness: Spatial and relational contexts of tie persistence and re-formation","https://www.sciencedirect.com/science/article/pii/S0378873315000106","Personal relationships are embedded in both spatial and relational contexts. Using data on 60 intentional communities from the Urban Communes Data Set, we examine how such embedding is related to the persistence and re-formation of close personal ties over a thirteen year period, beginning from when most members had been out of their group environments more than a decade. We find that local network structure—the pattern of dyads immediately surrounding any dyad—is extremely weighty in which ties persist, which lapse, and which are re-initiated, but that the precise ways in which local structure affects contact are bound up with the distance between dyad members. We also find asymmetries in these processes that other studies have been unable to uncover—that processes that lead ties to be dropped are not the same as those that lead them to be renewed; that increases in local embeddedness are not opposite of decreases; that change in contact is not the same as change in friendship. Finally, there is evidence of hierarchical effects influencing the retention of friendships more than twenty-five years after most respondents left their groups.","Author links open overlay panelJacobHabinekaJohn LeviMartinbBenjamin D.Zablockic","Volume 42, July 2015, Pages 27-41","KeywordsTie persistenceTie decayNetwork structureDistanceLongitudinal analysis"
"1551950364-158","https://www.sciencedirect.com/journal/social-networks/issues","Volume 27, Issue 3","https://www.sciencedirect.com/journal/social-networks/vol/27/issue/3","Measuring personal networks with daily contacts: a single-item survey question and the contact diary","https://www.sciencedirect.com/science/article/pii/S0378873305000092","This paper examines two extreme approaches that are alternatives to measure egocentric networks with network generators. The single-item approach to measure daily contacts differentiates the individuals effectively, corresponds closely with complex network measures, and reveals well how individuals vary in both expressive and instrumental returns, as supported by 14 large-scale probability surveys from three Chinese societies over a decade. This paper also draws upon three sets of sophisticated contact diaries, which yielded rich data about the circumstance of each contact, the alter's characteristics and the ego–alter relationship. Along with the diary approach, which offers sophisticated data about contacts, ties and networks, the single-item survey approach is another extreme yet straightforward measure of daily contacts.","Author links open overlay panelYang-chihFu","Volume 27, Issue 3, July 2005, Pages 169-186","KeywordsPersonal networksDaily contactsContact diary"
"1551949881-36","https://www.sciencedirect.com/journal/social-networks/issues","Volume 22, Issue 3","https://www.sciencedirect.com/journal/social-networks/vol/22/issue/3","Exploring dynamic networks: hypotheses and conjectures","https://www.sciencedirect.com/science/article/pii/S0378873300000253","Previously, theories of network exchange and their applications focused only on static configurations. The purpose of this paper is to show that exchange networks with dynamic structures can be analyzed using Network Exchange Theory (NET) even though that theory was developed with only static networks in mind. The Exchange Seek Likelihood (ESL) and Optimal-Seek methods of NET are used. Hypotheses, which focus on network dynamics from the perspective of the network as a whole and from the perspective of individual actors, are both considered. The only previous paper on exchange networks with dynamic structures is that of Leik [Leik, Robert K. 1992. New directions for NET: stategic manipulation of network linkages. Social Networks. 14: 309– 324.]. Since the issues he considered continue to be significant, we use his paper to guide our analysis, offering new hypotheses and conjectures for the issues he considered.","Author links open overlay panelRobbWilleraDavidWillerb","Volume 22, Issue 3, July 2000, Pages 251-272","null"
"1551951411-481","https://www.sciencedirect.com/journal/social-networks/issues","Volume 35, Issue 2","https://www.sciencedirect.com/journal/social-networks/vol/35/issue/2","Introduction to the special issue on advances in two-mode social networks","https://www.sciencedirect.com/science/article/pii/S0378873313000178","null","Author links open overlay panelFilipAgneessensMartin G.Everett","Volume 35, Issue 2, May 2013, Pages 145-147","null"
"1551949887-38","https://www.sciencedirect.com/journal/social-networks/issues","Volume 22, Issue 3","https://www.sciencedirect.com/journal/social-networks/vol/22/issue/3","Dynamical systems to define centrality in social networks","https://www.sciencedirect.com/science/article/pii/S0378873300000204","In this paper, new measures of centrality that summarize the contact structure of social networks are proposed. The new measures use a cumulative nomination scheme based on the preliminary assumption that more central individuals will be nominated more often. Some of these measures are defined to characterize networks of different sizes and, by extension, networks made of many components. These new measures are applied to a network of 40 homosexuals with AIDS [Auerbach, D., Darrow, W., Jaffe, H., Curran, J., 1984. Cluster of cases of the acquired immune deficiency syndrome: patients linked by sexual contact. Am. J. Med. 76 (1984) 487–492; Klovdahl, A.S., 1985. Social networks and the spread of infectious diseases: the AIDS example. Soc. Sci. Med. 21 (1985) 1203–1216.], an illustrative multi-component network and a simulated network. They are compared to classical measures based on geodesics (closeness, eccentricity), to information-based centrality measures introduced by Stephenson and Zelen [Stephenson, K., Zelen, M., 1989. Rethinking centrality: methods and examples. Soc. Networks 11 (1989) 1–37.] and Altmann [Altmann, M., 1993. Reinterpreting network measures for models of disease transmission. Soc. Networks 15 (1993) 1–17.], and to the centrality measure of Bonacich [Bonacich, P., 1972. Factoring and weighting approaches to status scores and clique identification. J. Math. Sociol. 2 (1972) 113–120.]. The most basic of our measures is shown to be related to the Bonacich index of centrality for connected networks. The scaling law of the different centrality measures is examined by measuring simulated networks of various sizes. Measures based on the distribution of the components' size obey a simple proportional scaling law while those based on geodesics do not. Our new measures prove interesting because they consider all the possible paths, do not require intensive computer calculations, and can be used to compare networks of different sizes because they are independent of the size of the networks.","Author links open overlay panelRPoulinabM.-CBoilyabB.RMâsseab","Volume 22, Issue 3, July 2000, Pages 187-220","null"
"1551950275-132","https://www.sciencedirect.com/journal/social-networks/issues","Volume 26, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/26/issue/4","Corrigendum to “Generalized blockmodeling of two-mode network data” [Social Networks 26 (2004) 29–53]","https://www.sciencedirect.com/science/article/pii/S0378873304000401","null","Author links open overlay panelPatrickDoreianaVladimirBatageljbAnuškaFerligojb","Volume 26, Issue 4, October 2004, Page 349","null"
"1551951105-381","https://www.sciencedirect.com/journal/social-networks/issues","Volume 33, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/33/issue/4","What's in the “old boys” network? Accessing social capital in gendered and racialized networks","https://www.sciencedirect.com/science/article/pii/S0378873311000554","Network processes have long been implicated in the reproduction of labor market inequality, but it remains unclear whether white male networks provide more social capital resources than female and minority networks. Analysis of nationally representative survey data reveals that people in white male networks receive twice as many job leads as people in female/minority networks. White male networks are also comprised of higher status connections than female/minority networks. The information and status benefits of membership in these old boy networks accrue to all respondents and not just white men. Furthermore, gender homophilous contacts offer greater job finding assistance than other contacts. The results specify how social capital flows through gendered and racialized networks.","Author links open overlay panelSteveMcDonald","Volume 33, Issue 4, October 2011, Pages 317-330","KeywordsNetworksSocial capitalGenderRaceInequalityJob search"
"1551950658-245","https://www.sciencedirect.com/journal/social-networks/issues","Volume 29, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/29/issue/4","Mixing patterns between age groups in social networks","https://www.sciencedirect.com/science/article/pii/S0378873307000330","We present a method for estimating transmission matrices that describe the mixing and the probability of infection between age groups. Transmission matrices can be used to estimate age-dependent forces of infection in age-structured, compartmental models for the study of infectious diseases. We analyze the social network generated by the synthetic population of Portland and extract mixing patterns. Our results show that the mixing within the population consists of two groups, children and adults. Children interact most frequently with other children close to their own age, while adults interact with a wider range of age groups and the durations of typical adult contacts are shorter than typical contacts between children. Furthermore, the transmission matrix shows that children are more likely to acquire infection than adults.","Author links open overlay panelS.Y.Del ValleaJ.M.HymanbH.W.HethcotecS.G.Eubankd1","Volume 29, Issue 4, October 2007, Pages 539-554","KeywordsInfectious diseasesMathematical modelsNetwork epidemiologyContact patternsEpiSimSWAIFW matrix"
