"","article-href","word"
"1","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","argu"
"2","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","chang"
"3","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","manag"
"4","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","ideolog"
"5","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","select"
"6","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","complex"
"7","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","research"
"8","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","imper"
"9","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","chang"
"10","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","polit"
"11","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","econom"
"12","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","agenda"
"13","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","seek"
"14","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","redress"
"15","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","situat"
"16","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","develop"
"17","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","critic"
"18","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","perspect"
"19","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","chang"
"20","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","metaphor"
"21","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","zone"
"22","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","entangl"
"23","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","assist"
"24","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","critic"
"25","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","analysi"
"26","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","chang"
"27","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","central"
"28","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","argument"
"29","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","dynam"
"30","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","chang"
"31","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","chang"
"32","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","vein"
"33","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","deep"
"34","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","robust"
"35","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","persist"
"36","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","structur"
"37","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","dampen"
"38","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","chang"
"39","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","recogn"
"40","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","achiev"
"41","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","organ"
"42","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","chang"
"43","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","result"
"44","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","posit"
"45","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","social"
"46","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802106","transform"
"47","https://www.emeraldinsight.com/doi/full/10.1108/FS-04-2014-0024","null"
"48","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","receiv"
"49","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","7"
"50","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","januari"
"51","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","2008revis"
"52","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","9"
"53","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","januari"
"54","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","2008accept"
"55","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","21"
"56","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","januari"
"57","https://www.emeraldinsight.com/doi/full/10.1108/14636680810869671","2008"
"58","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","author"
"59","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","sincer"
"60","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","appreci"
"61","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","renova"
"62","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","support"
"63","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","studi"
"64","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","extend"
"65","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","person"
"66","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","note"
"67","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","viktor"
"68","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","vekselberg"
"69","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","presid"
"70","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","skolkovo"
"71","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","foundat"
"72","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","chairman"
"73","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","board"
"74","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","director"
"75","https://www.emeraldinsight.com/doi/full/10.1108/FS-01-2017-0002","renova"
"76","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","base"
"77","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","world"
"78","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","report"
"79","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","world"
"80","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","ahead"
"81","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","futur"
"82","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","articl"
"83","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","identifi"
"84","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","major"
"85","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","challeng"
"86","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","dawn"
"87","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","21st"
"88","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","centuri"
"89","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","peac"
"90","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","social"
"91","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","inequ"
"92","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","sustain"
"93","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","develop"
"94","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","term"
"95","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","global"
"96","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","plan"
"97","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","argu"
"98","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","societi"
"99","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","rebuilt"
"100","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","envisag"
"101","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","intern"
"102","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","democraci"
"103","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","found"
"104","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","pillar"
"105","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","contract"
"106","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","social"
"107","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","natur"
"108","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","cultur"
"109","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","ethic"
"110","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","precondit"
"111","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802287","cost"
"112","https://www.emeraldinsight.com/doi/full/10.1108/14636681211239764","null"
"113","https://www.emeraldinsight.com/doi/full/10.1108/14636680910936486","null"
"114","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","author"
"115","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","dear"
"116","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","niec"
"117","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","clair"
"118","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","veuthey"
"119","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","arnold"
"120","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","kohen"
"121","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","catherin"
"122","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","currat"
"123","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","editori"
"124","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","comment"
"125","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","final"
"126","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","english"
"127","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","text"
"128","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","articl"
"129","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","mail"
"130","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","address"
"131","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","author"
"132","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","mveuthey"
"133","https://www.emeraldinsight.com/doi/full/10.1108/14636680510581303","mac.com"
"134","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","articl"
"135","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","outlin"
"136","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","impact"
"137","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","signific"
"138","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","constitut"
"139","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","reform"
"140","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","uk"
"141","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","scenario"
"142","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","minimum"
"143","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","maximum"
"144","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","outcom"
"145","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","process"
"146","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","devolv"
"147","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","govern"
"148","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","wale"
"149","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","scotland"
"150","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","northern"
"151","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","ireland"
"152","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","domest"
"153","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","issu"
"154","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","includ"
"155","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","financi"
"156","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","tension"
"157","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","human"
"158","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","right"
"159","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","parliamentari"
"160","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","reform"
"161","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","reorgan"
"162","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","civil"
"163","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","servic"
"164","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","move"
"165","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","written"
"166","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","constitut"
"167","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","uk"
"168","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","intern"
"169","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","uk’"
"170","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","relat"
"171","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","countri"
"172","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","result"
"173","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","articl"
"174","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","conclud"
"175","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","minimalist"
"176","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","scenario"
"177","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","closest"
"178","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","represent"
"179","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","uk’"
"180","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","constitut"
"181","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802241","futur"
"182","https://www.emeraldinsight.com/doi/full/10.1108/FS-06-2014-0042","null"
"183","https://www.emeraldinsight.com/doi/full/10.1108/14636680410699124","jame"
"184","https://www.emeraldinsight.com/doi/full/10.1108/14636680410699124","robertson"
"185","https://www.emeraldinsight.com/doi/full/10.1108/14636680410699124","2004"
