"","word","n"
"1","futur",269
"2","technolog",176
"3","develop",169
"4","econom",118
"5","inform",114
"6","project",111
"7","societi",103
"8","chang",98
"9","scenario",98
"10","univers",96
"11","foresight",93
"12","social",90
"13","world",83
"14","nation",80
"15","support",80
"16","polici",79
"17","global",75
"18","scienc",73
"19","sustain",68
"20","govern",65
"21","provid",65
"22","human",64
"23","revis",63
"24","european",62
"25","process",61
"26","framework",60
"27","view",60
"28","manag",58
"29","economi",56
"30","time",56
"31","challeng",54
"32","knowledg",52
"33","sector",52
"34","public",51
"35","system",51
"36","base",50
"37","busi",49
"38","intern",49
"39","organ",48
"40","discuss",45
"41","increas",45
"42","product",44
"43","communic",43
"44","centuri",42
"45","environment",42
"46","comment",41
"47","environ",40
"48","integr",40
"49","market",40
"50","polit",40
"51","role",40
"52","communiti",39
"53","energi",39
"54","import",39
"55","industri",39
"56","acknowledg",38
"57","innov",38
"58","institut",38
"59","possibl",38
"60","network",37
"61","review",37
"62","peopl",36
"63","cultur",35
"64","program",35
"65","relat",35
"66","school",35
"67","emerg",34
"68","focus",34
"69","plan",34
"70","power",34
"71","contribut",33
"72","level",33
"73","respons",33
"74","altern",32
"75","concern",32
"76","educ",32
"77","fund",32
"78","report",32
"79","structur",32
"80","trend",32
"81","age",31
"82","capit",31
"83","effect",31
"84","howev",31
"85","potenti",31
"86","term",31
"87","commiss",30
"88","countri",30
"89","form",30
"90","generat",30
"91","improv",30
"92","onli",30
"93","opportun",30
"94","publish",30
"95","region",30
"96","activ",29
"97","consid",29
"98","grant",29
"99","particip",29
"100","examin",28
"101","explor",28
"102","requir",28
"103","servic",28
"104","concept",27
"105","creat",27
"106","depart",27
"107","express",27
"108","materi",27
"109","organis",27
"110","approach",26
"111","current",26
"112","describ",26
"113","foundat",26
"114","identifi",26
"115","main",26
"116","russian",26
"117","suggest",26
"118","complex",25
"119","grate",25
"120","health",25
"121","lead",25
"122","mani",25
"123","programm",25
"124","transform",25
"125","understand",25
"126","achiev",24
"127","associ",24
"128","centr",24
"129","field",24
"130","futurist",24
"131","genom",24
"132","ict",24
"133","involv",24
"134","life",24
"135","model",24
"136","natur",24
"137","resourc",24
"138","advanc",23
"139","continu",23
"140","data",23
"141","impact",23
"142","implement",23
