"","word1","word2","n"
"1",NA,NA,429
"2","information","society",29
"3","sustainable","development",24
"4","european","commission",18
"5","russian","federation",14
"6","necessarily","reflect",13
"7","article","draws",12
"8","foresight","studies",12
"9","futures","studies",12
"10","sector","futures",12
"11","special","issue",12
"12","economics","hse",11
"13","editorial","board",11
"14","views","expressed",11
"15","anonymous","reviewers",10
"16","cold","war",10
"17","european","monitoring",10
"18","futures","project",10
"19","monitoring","centre",10
"20","valuable","comments",10
"21","alternative","futures",9
"22","material","produced",9
"23","prest","university",9
"24","technology","foresight",9
"25","united","nations",9
"26","article","examines",8
"27","national","foresight",8
"28","opinion","piece",8
"29","richard","slaughter",8
"30","academic","excellence",7
"31","atlantic","community",7
"32","excellence","project",7
"33","main","conclusion",7
"34","millennium","project",7
"35","russian","academic",7
"36","social","capital",7
"37","socio","economic",7
"38","subsidy","granted",7
"39","american","council",6
"40","article","describes",6
"41","communication","technology",6
"42","competitiveness","program",6
"43","economic","development",6
"44","food","safety",6
"45","foresight","vol",6
"46","global","competitiveness",6
"47","helpful","comments",6
"48","information","technology",6
"49","intellectual","capital",6
"50","policy","makers",6
"51","received","funding",6
"52","science","foundation",6
"53","anonymous","referees",5
"54","article","concludes",5
"55","article","considers",5
"56","authors","acknowledge",5
"57","coming","decade",5
"58","communication","technologies",5
"59","communications","technologies",5
"60","comprising","responses",5
"61","economic","activity",5
"62","environmental","issues",5
"63","european","union",5
"64","future","foresight",5
"65","health","care",5
"66","issue","comprising",5
"67","knowledge","economy",5
"68","national","science",5
"69","nations","university",5
"70","prior","written",5
"71","public","administration",5
"72","public","policy",5
"73","queensland","department",5
"74","queensland","government",5
"75","regional","foresight",5
"76","slaughter","opinion",5
"77","alternative","scenarios",4
"78","article","highlights",4
"79","article","outlines",4
"80","business","school",4
"81","economic","growth",4
"82","economic","political",4
"83","families","respects",4
"84","financial","support",4
"85","framework","programme",4
"86","future","generations",4
"87","future","trends",4
"88","global","challenges",4
"89","gratefully","acknowledge",4
"90","human","rights",4
"91","human","security",4
"92","industrial","technology",4
"93","intellectual","capitalism",4
"94","international","conference",4
"95","knowledge","creation",4
"96","life","sciences",4
"97","moral","rights",4
"98","network","society",4
"99","official","position",4
"100","permitted","acts",4
"101","power","structures",4
"102","publication","permission",4
"103","representative","democracy",4
"104","rockefeller","foundation",4
"105","science","technology",4
"106","social","responsibility",4
"107","specifically","assigned",4
"108","technology","development",4
"109","technology","ict",4
"110","water","resources",4
"111","written","permission",4
"112","advanced","economies",3
"113","anonymous","referee",3
"114","apec","ctf",3
"115","article","identifies",3
"116","article","suggests",3
"117","asia","pacific",3
"118","attribution","noncommercial",3
"119","authors","declare",3
"120","authors","gratefully",3
"121","automotive","sector",3
"122","business","operations",3
"123","commission","dg",3
"124","commons","attribution",3
"125","communication","skills",3
"126","creative","commons",3
"127","cyborg","child",3
"128","data","collection",3
"129","decision","makers",3
"130","developed","countries",3
"131","developing","countries",3
"132","development","scenario",3
"133","disclaimers","apply",3
"134","domestic","product",3
"135","economic","factors",3
"136","education","science",3
"137","energy","technologies",3
"138","environmental","policy",3
"139","environmental","protection",3
"140","european","commission's",3
"141","european","communities",3
"142","food","production",3
"143","foreign","studies",3
"144","foresight","exercises",3
"145","foresight","management",3
"146","foresight","process",3
"147","foresight","study",3
"148","foresight","system",3
"149","future","development",3
"150","futures","thinking",3
"151","genomics","applications",3
"152","genomics","scenario",3
